/* DATA DESCRIPTION:
Citation:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): AICC2012 chronology for ice core NGRIP [dataset]. PANGAEA, https://doi.org/10.1594/PANGAEA.824867, 
	In: Bazin, L et al. (2013): The Antarctic ice core chronology (AICC2012) [dataset publication series]. PANGAEA, https://doi.org/10.1594/PANGAEA.824894
Related to:	Bazin, Lucie; Landais, Amaëlle; Lemieux-Dudon, Bénédicte; Toyé Mahamadou Kele, H; Veres, Daniel; Parrenin, Frédéric; Martinerie, Patricia; Ritz, Catherine; Capron, Emilie; Lipenkov, Vladimir Ya; Loutre, Marie-France; Raynaud, Dominique; Vinther, Bo Møllesøe; Svensson, Anders M; Rasmussen, Sune Olander; Severi, Mirko; Blunier, Thomas; Leuenberger, Markus Christian; Fischer, Hubertus; Masson-Delmotte, Valerie; Chappellaz, Jérôme A; Wolff, Eric William (2013): An optimized multi-proxy, multi-site Antarctic ice and gas orbital chronology (AICC2012): 120-800 ka. Climate of the Past, 9(4), 1715-1731, https://doi.org/10.5194/cp-9-1715-2013
	Veres, Daniel; Bazin, Lucie; Landais, Amaëlle; Toyé Mahamadou Kele, H; Lemieux-Dudon, Bénédicte; Parrenin, Frédéric; Martinerie, Patricia; Blayo, Eric; Blunier, Thomas; Capron, Emilie; Chappellaz, Jérôme A; Rasmussen, Sune Olander; Severi, Mirko; Svensson, Anders M; Vinther, Bo Møllesøe; Wolff, Eric William (2013): The Antarctic ice core chronology (AICC2012): an optimized multi-parameter and multi-site dating approach for the last 120 thousand years. Climate of the Past, 9(4), 1733-1748, https://doi.org/10.5194/cp-9-1733-2013
Further details:	Supplementary material to AICC2012 ice core chronology (URI: hdl:10013/epic.42823.d001)
Project(s):	North Greenland Ice Core Project (NGRIP) (URI: https://en.wikipedia.org/wiki/North_Greenland_Ice_Core_Project)
Coverage:	LATITUDE: 75.100000 * LONGITUDE: -42.320000
	DATE/TIME START: 1996-07-01T00:00:00 * DATE/TIME END: 1996-07-01T00:00:00
	MINIMUM DEPTH, ice/snow: 8 m * MAXIMUM DEPTH, ice/snow: 3082 m
Event(s):	NGRIP (NorthGRIP) * LATITUDE: 75.100000 * LONGITUDE: -42.320000 * DATE/TIME: 1996-07-01T00:00:00 * ELEVATION: 2917.0 m * LOCATION: Greenland * CAMPAIGN: NGRIP * BASIS: Sampling/drilling ice * METHOD/DEVICE: Ice drill (ICEDRILL)
Parameter(s):	DEPTH, ice/snow [m] (Depth ice/snow) * GEOCODE
	AGE [ka BP] (Age) * GEOCODE
	Age, standard deviation [±] (Age std dev) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Gas age [ka BP] (Gas age) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Gas age, standard deviation [±] (Gas age std dev) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Accumulation rate in ice equivalent per year [m/a] (Acc rate ice per year) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Thinning function (TF) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
	Lock-in depth in ice equivalent [m] (LIDIE) * PI: Bazin, Lucie (https://orcid.org/0000-0003-4808-4090, lucie.bazin@lsce.ipsl.fr)
License:	Creative Commons Attribution 3.0 Unported (CC-BY-3.0) (URI: https://creativecommons.org/licenses/by/3.0/)
Size:	15986 data points
*/
Depth ice/snow [m]	Age [ka BP]	Age std dev [±]	Gas age [ka BP]	Gas age std dev [±]	Acc rate ice per year [m/a]	TF	LIDIE [m]
80	0.26175		0.00440	0.02718	0.1959	0.9778	51.72
81	0.26667		0.00874	0.02733	0.2176	0.9776	51.73
82	0.27110		0.01354	0.02568	0.1928	0.9772	51.71
83	0.27613		0.01793	0.02941	0.1942	0.9769	51.51
84	0.28114		0.02367	0.02999	0.1823	0.9765	51.44
85	0.28649		0.02933	0.02647	0.1821	0.9763	51.40
86	0.29185		0.03451	0.03034	0.1869	0.9760	51.36
87	0.29708		0.03970	0.02960	0.2071	0.9756	51.32
88	0.30181		0.04497	0.02692	0.1926	0.9753	51.45
89	0.30691		0.04919	0.02779	0.1918	0.9749	51.41
90	0.31204		0.05403	0.03234	0.1835	0.9744	51.37
91	0.31743		0.05891	0.02957	0.2021	0.9740	51.34
92	0.32232		0.06438	0.02909	0.1941	0.9735	51.15
93	0.32742		0.07019	0.02843	0.1946	0.9731	51.09
94	0.33252		0.07454	0.03104	0.2134	0.9725	50.93
95	0.33718		0.08024	0.03214	0.1796	0.9719	50.94
96	0.34273		0.08547	0.03071	0.1930	0.9713	50.95
97	0.34792		0.09046	0.02804	0.2039	0.9707	50.81
98	0.35284		0.09597	0.03011	0.2133	0.9700	50.83
99	0.35755		0.10069	0.03384	0.2112	0.9693	50.86
100	0.36231		0.10580	0.03132	0.1954	0.9686	50.73
101	0.36745		0.11180	0.03157	0.2023	0.9680	50.77
102	0.37242		0.11667	0.03021	0.1879	0.9674	50.65
103	0.37778		0.12210	0.03366	0.1799	0.9669	50.55
104	0.38337		0.12773	0.03410	0.1989	0.9664	50.60
105	0.38845		0.13284	0.03422	0.1914	0.9658	50.48
106	0.39373		0.13884	0.03249	0.1902	0.9653	50.38
107	0.39903		0.14443	0.03335	0.1903	0.9649	50.43
108	0.40436		0.14880	0.03192	0.2010	0.9645	50.48
109	0.40945		0.15370	0.03571	0.1899	0.9641	50.53
110	0.41483		0.15858	0.03095	0.1926	0.9639	50.42
111	0.42014		0.16424	0.03569	0.2047	0.9636	50.48
112	0.42514		0.16910	0.03564	0.1859	0.9633	50.39
113	0.43066		0.17496	0.03415	0.1907	0.9630	50.31
114	0.43605		0.18039	0.03661	0.1999	0.9627	50.24
115	0.44119		0.18597	0.03657	0.1935	0.9625	50.17
116	0.44650		0.19176	0.02981	0.2029	0.9622	49.98
117	0.45158		0.19752	0.03804	0.1829	0.9620	49.91
118	0.45720		0.20333	0.03258	0.2113	0.9618	49.85
119	0.46208		0.20892	0.03642	0.1851	0.9616	49.77
120	0.46767		0.22287	0.03622	0.1920	0.9614	49.76
121	0.47306		0.22787	0.03642	0.1855	0.9611	49.75
122	0.47862		0.22494	0.03621	0.1905	0.9608	49.74
123	0.48404		0.23032	0.03632	0.1827	0.9605	49.73
124	0.48969		0.23570	0.03690	0.2249	0.9601	49.71
125	0.49430		0.24117	0.03901	0.2139	0.9598	49.70
126	0.49912		0.24692	0.03752	0.1890	0.9594	49.68
127	0.50456		0.25241	0.03387	0.2276	0.9590	49.66
128	0.50910		0.25789	0.03283	0.1880	0.9586	49.64
129	0.51463		0.26853	0.03718	0.1829	0.9583	49.61
130	0.52032		0.27341	0.03708	0.2060	0.9578	49.59
131	0.52538		0.27865	0.03954	0.1981	0.9574	49.57
132	0.53065		0.28407	0.03961	0.2240	0.9569	49.54
133	0.53530		0.28966	0.03864	0.1853	0.9564	49.52
134	0.54092		0.29518	0.03862	0.1907	0.9560	49.50
135	0.54636		0.29614	0.03491	0.1972	0.9555	49.48
136	0.55163		0.30134	0.03793	0.2122	0.9551	49.46
137	0.55654		0.31082	0.03976	0.1949	0.9547	49.44
138	0.56192		0.31636	0.03608	0.1834	0.9543	49.42
139	0.56763		0.32153	0.03759	0.1826	0.9538	49.41
140	0.57334		0.32678	0.03758	0.2051	0.9534	49.39
141	0.57841		0.32879	0.03431	0.2099	0.9530	49.38
142	0.58341		0.33691	0.04088	0.1867	0.9526	49.37
143	0.58904		0.34258	0.03620	0.1981	0.9522	49.35
144	0.59434		0.34794	0.03464	0.1976	0.9518	49.34
145	0.59965		0.35301	0.03498	0.2004	0.9514	49.33
146	0.60490		0.35787	0.03782	0.1939	0.9510	49.32
147	0.61032		0.36279	0.03653	0.2077	0.9506	49.31
148	0.61539		0.36807	0.03936	0.2056	0.9502	49.30
149	0.62051		0.37326	0.04113	0.2014	0.9497	49.29
150	0.62573		0.37882	0.03732	0.1800	0.9493	49.28
151	0.63159		0.38447	0.03878	0.1949	0.9489	49.27
152	0.63699		0.38975	0.03891	0.1936	0.9485	49.26
153	0.64244		0.39519	0.03915	0.1858	0.9481	49.25
154	0.64812		0.40064	0.03732	0.1835	0.9477	49.25
155	0.65387		0.40604	0.03951	0.1835	0.9473	49.24
156	0.65962		0.41136	0.03895	0.1835	0.9470	49.24
157	0.66538		0.41683	0.03671	0.1738	0.9466	49.23
158	0.67145		0.42213	0.04051	0.1991	0.9463	49.23
159	0.67676		0.42744	0.03958	0.1809	0.9461	49.22
160	0.68260		0.43299	0.03771	0.1999	0.9458	49.22
161	0.68789		0.43835	0.03899	0.2014	0.9455	49.22
162	0.69315		0.44364	0.03725	0.2015	0.9452	49.22
163	0.69840		0.44892	0.04128	0.1882	0.9449	49.22
164	0.70402		0.45434	0.03576	0.2018	0.9445	49.23
165	0.70927		0.45966	0.04107	0.1934	0.9442	49.23
166	0.71475		0.46497	0.03959	0.1768	0.9438	49.23
167	0.72074		0.47054	0.04084	0.1697	0.9434	49.24
168	0.72699		0.47611	0.03977	0.2172	0.9429	49.24
169	0.73187		0.48169	0.04150	0.1976	0.9424	49.25
170	0.73724		0.48736	0.03381	0.1688	0.9418	49.25
171	0.74353		0.49250	0.03541	0.1677	0.9413	49.26
172	0.74986		0.49735	0.03985	0.1813	0.9407	49.27
173	0.75572		0.50269	0.03331	0.1980	0.9401	49.27
174	0.76110		0.50766	0.04053	0.1985	0.9395	49.28
175	0.76646		0.51301	0.04174	0.1790	0.9388	49.28
176	0.77241		0.51881	0.03707	0.2054	0.9383	49.28
177	0.77760		0.52415	0.03854	0.1819	0.9378	49.28
178	0.78346		0.52949	0.03409	0.2034	0.9373	49.29
179	0.78871		0.53439	0.04115	0.1954	0.9369	49.29
180	0.79417		0.53994	0.03984	0.1714	0.9365	49.29
181	0.80040		0.54551	0.03856	0.2002	0.9361	49.28
182	0.80573		0.55091	0.03593	0.1981	0.9358	49.28
183	0.81113		0.55596	0.03932	0.2006	0.9355	49.28
184	0.81646		0.56138	0.04180	0.2019	0.9352	49.27
185	0.82176		0.56717	0.04179	0.2161	0.9349	49.27
186	0.82670		0.57300	0.03708	0.1799	0.9347	49.26
187	0.83265		0.57820	0.03654	0.1869	0.9344	49.25
188	0.83838		0.58331	0.03873	0.1907	0.9341	49.24
189	0.84400		0.58904	0.03884	0.1991	0.9338	49.24
190	0.84937		0.59447	0.03831	0.2135	0.9334	49.23
191	0.85439		0.59993	0.03958	0.1912	0.9330	49.22
192	0.86000		0.60533	0.03697	0.2168	0.9326	49.21
193	0.86494		0.61087	0.03735	0.1965	0.9323	49.20
194	0.87040		0.61608	0.03812	0.1743	0.9319	49.19
195	0.87656		0.62137	0.04267	0.1898	0.9315	49.18
196	0.88221		0.62686	0.03941	0.1884	0.9311	49.17
197	0.88791		0.63277	0.03965	0.1795	0.9307	49.16
198	0.89390		0.63834	0.04133	0.1840	0.9304	49.15
199	0.89974		0.64399	0.04185	0.1986	0.9300	49.14
200	0.90516		0.64984	0.04185	0.1716	0.9297	49.13
201	0.91142		0.65573	0.04185	0.2042	0.9294	49.12
202	0.91669		0.66162	0.04418	0.1843	0.9291	49.11
203	0.92253		0.66763	0.03859	0.1829	0.9287	49.11
204	0.92842		0.67355	0.04248	0.1907	0.9284	49.10
205	0.93407		0.67920	0.03844	0.1846	0.9281	49.09
206	0.93990		0.68494	0.03817	0.2104	0.9277	49.08
207	0.94503		0.69033	0.03815	0.1848	0.9274	49.08
208	0.95086		0.69570	0.04086	0.2049	0.9270	49.07
209	0.95613		0.70126	0.03811	0.1806	0.9266	49.07
210	0.96210		0.70682	0.03977	0.2158	0.9262	49.06
211	0.96711		0.71232	0.04349	0.1772	0.9258	49.06
212	0.97320		0.71823	0.04530	0.1851	0.9253	49.06
213	0.97904		0.72453	0.03540	0.1998	0.9248	49.05
214	0.98445		0.73008	0.03893	0.2146	0.9243	49.05
215	0.98949		0.73541	0.04558	0.1823	0.9238	49.05
216	0.99543		0.74155	0.04590	0.2050	0.9233	49.05
217	1.00071		0.74804	0.04248	0.1996	0.9227	49.05
218	1.00614		0.75421	0.03893	0.1895	0.9221	49.05
219	1.01187		0.75986	0.03884	0.1968	0.9214	49.05
220	1.01738		0.76539	0.04308	0.1967	0.9209	49.06
221	1.02290		0.77138	0.03756	0.1847	0.9203	49.06
222	1.02878		0.77683	0.04243	0.1942	0.9198	49.06
223	1.03438		0.78273	0.03794	0.2056	0.9194	49.06
224	1.03967		0.78816	0.03950	0.1920	0.9190	49.06
225	1.04534		0.79371	0.04505	0.1950	0.9186	49.06
226	1.05092		0.79998	0.03859	0.1909	0.9183	49.06
227	1.05663		0.80546	0.03902	0.2054	0.9180	49.06
228	1.06193		0.81092	0.03855	0.1856	0.9178	49.06
229	1.06780		0.81630	0.03832	0.1923	0.9177	49.06
230	1.07347		0.82163	0.03581	0.1989	0.9176	49.06
231	1.07895		0.82661	0.04304	0.2011	0.9174	49.07
232	1.08437		0.83257	0.04146	0.1865	0.9172	49.07
233	1.09021		0.83834	0.04067	0.1962	0.9170	49.08
234	1.09577		0.84399	0.03637	0.1740	0.9167	49.08
235	1.10204		0.84940	0.04064	0.1824	0.9163	49.10
236	1.10802		0.85445	0.03586	0.2016	0.9159	49.11
237	1.11344		0.86009	0.03960	0.1929	0.9154	49.13
238	1.11910		0.86508	0.04466	0.2053	0.9148	49.15
239	1.12443		0.87061	0.04102	0.1905	0.9141	49.18
240	1.13017		0.87679	0.04136	0.2134	0.9134	49.21
241	1.13530		0.88249	0.04342	0.1757	0.9127	49.25
242	1.14154		0.88822	0.04239	0.1789	0.9121	49.29
243	1.14766		0.89416	0.03930	0.1882	0.9115	49.33
244	1.15349		0.89991	0.04552	0.1901	0.9110	49.38
245	1.15927		0.90523	0.04556	0.1911	0.9106	49.43
246	1.16501		0.91134	0.03834	0.2125	0.9103	49.48
247	1.17018		0.91647	0.04253	0.2016	0.9101	49.54
248	1.17563		0.92205	0.04292	0.2215	0.9099	49.59
249	1.18060		0.92769	0.04123	0.2002	0.9098	49.64
250	1.18609		0.93313	0.04265	0.1710	0.9098	49.70
251	1.19251		0.93866	0.03748	0.2073	0.9098	49.75
252	1.19782		0.94370	0.04272	0.2043	0.9097	49.79
253	1.20320		0.94912	0.03858	0.1886	0.9096	49.84
254	1.20903		0.95438	0.04382	0.1760	0.9095	49.88
255	1.21527		0.95995	0.03672	0.2020	0.9092	49.91
256	1.22072		0.96520	0.04475	0.2177	0.9089	49.94
257	1.22577		0.97080	0.04287	0.1812	0.9086	49.97
258	1.23185		0.97671	0.03975	0.1957	0.9081	49.99
259	1.23747		0.98230	0.03702	0.1887	0.9076	50.01
260	1.24331		0.98753	0.04359	0.1895	0.9070	50.02
261	1.24913		0.99321	0.03877	0.1917	0.9064	50.03
262	1.25489		0.99886	0.03983	0.1660	0.9058	50.04
263	1.26154		1.00437	0.04196	0.1953	0.9052	50.05
264	1.26719		1.01014	0.04041	0.1996	0.9046	50.05
265	1.27273		1.01586	0.04043	0.2159	0.9041	50.05
266	1.27785		1.02151	0.04306	0.1816	0.9036	50.05
267	1.28395		1.02745	0.04096	0.2073	0.9032	50.05
268	1.28929		1.03325	0.03870	0.1823	0.9028	50.04
269	1.29536		1.03873	0.04146	0.2076	0.9024	50.04
270	1.30070		1.04445	0.04081	0.1839	0.9020	50.04
271	1.30673		1.05016	0.04171	0.1908	0.9017	50.04
272	1.31254		1.05595	0.03877	0.2025	0.9014	50.03
273	1.31802		1.06139	0.04290	0.1936	0.9012	50.03
274	1.32375		1.06731	0.04141	0.1777	0.9009	50.03
275	1.33000		1.07309	0.04005	0.2020	0.9006	50.02
276	1.33549		1.07867	0.03963	0.1976	0.9003	50.02
277	1.34112		1.08419	0.04272	0.2118	0.9000	50.02
278	1.34636		1.09011	0.04061	0.2134	0.8997	50.02
279	1.35157		1.09576	0.04371	0.2051	0.8993	50.02
280	1.35699		1.10213	0.03955	0.1813	0.8990	50.02
281	1.36313		1.10819	0.04134	0.2053	0.8986	50.02
282	1.36855		1.11372	0.03887	0.1774	0.8982	50.02
283	1.37482		1.11946	0.04191	0.1894	0.8978	50.03
284	1.38070		1.12491	0.03743	0.1878	0.8974	50.03
285	1.38664		1.13070	0.04549	0.1996	0.8969	50.04
286	1.39223		1.13607	0.04469	0.2172	0.8964	50.04
287	1.39736		1.14242	0.04250	0.2059	0.8958	50.05
288	1.40278		1.14862	0.04208	0.2007	0.8953	50.06
289	1.40835		1.15457	0.04184	0.1821	0.8947	50.06
290	1.41449		1.16046	0.03763	0.1865	0.8941	50.07
291	1.42048		1.16620	0.03967	0.1880	0.8935	50.08
292	1.42644		1.17154	0.03610	0.2166	0.8929	50.09
293	1.43160		1.17697	0.03994	0.1774	0.8924	50.10
294	1.43792		1.18218	0.04674	0.2090	0.8919	50.11
295	1.44329		1.18805	0.03856	0.2036	0.8914	50.12
296	1.44879		1.19421	0.03912	0.2085	0.8909	50.13
297	1.45418		1.19961	0.04236	0.1993	0.8905	50.14
298	1.45981		1.20521	0.04540	0.1784	0.8902	50.15
299	1.46611		1.21125	0.03957	0.1964	0.8899	50.16
300	1.47183		1.21726	0.03673	0.1917	0.8896	50.17
301	1.47770		1.22261	0.04416	0.1991	0.8893	50.17
302	1.48335		1.22810	0.04090	0.2217	0.8890	50.18
303	1.48842		1.23406	0.04243	0.2011	0.8887	50.18
304	1.49401		1.23984	0.04226	0.1931	0.8884	50.18
305	1.49984		1.24575	0.04180	0.1989	0.8880	50.19
306	1.50551		1.25163	0.04827	0.1829	0.8876	50.19
307	1.51167		1.25790	0.04105	0.1794	0.8872	50.19
308	1.51795		1.26422	0.04015	0.2129	0.8867	50.19
309	1.52325		1.26995	0.03714	0.1929	0.8862	50.19
310	1.52910		1.27541	0.04414	0.1922	0.8857	50.19
311	1.53497		1.28121	0.03868	0.1892	0.8851	50.19
312	1.54095		1.28703	0.04398	0.1867	0.8846	50.19
313	1.54700		1.29297	0.03862	0.2069	0.8840	50.19
314	1.55247		1.29874	0.04359	0.1870	0.8835	50.19
315	1.55852		1.30468	0.04201	0.1886	0.8830	50.19
316	1.56453		1.31070	0.03957	0.2075	0.8825	50.19
317	1.56999		1.31641	0.04138	0.1741	0.8821	50.19
318	1.57650		1.32219	0.04509	0.1836	0.8817	50.19
319	1.58267		1.32843	0.03966	0.2303	0.8813	50.19
320	1.58760		1.33422	0.04056	0.1946	0.8809	50.19
321	1.59344		1.33992	0.03784	0.1888	0.8805	50.19
322	1.59945		1.34534	0.03757	0.1845	0.8802	50.19
323	1.60561		1.35065	0.03909	0.2018	0.8798	50.19
324	1.61124		1.35614	0.04421	0.2002	0.8794	50.19
